Location,Coordinates
"Near Dallas, Texas","(32.9263426, -96.8424414)"
"Nanking, China","(32.0438284, 118.7788631)"
"Newhall, California","(34.3798765, -118.5291917)"
"Near Playa V icente, Veracruz, Mexico","(19.333333, -96.666667)"
"Near Newhall, California","(34.3798765, -118.5291917)"
"Oran, Algeria","(35.7044415, -0.6502981)"
"Off San Francisco, California","(37.7792588, -122.4193286)"
"McPherson Ranges, Queensland, Australia","(-28.4074066, 153.0677287)"
"Bathurst, Gambia","(13.45535, -16.575646)"
"Near Ouroux, France","(46.2306703, 4.5943391)"
"Clifton, Pennsylvania","(41.2228616, -75.5476872)"
"Wetnum, Germany",
"Lakehurst, New Jersey","(40.014561, -74.3112574)"
"Stuttgart, Germany","(48.7784485, 9.1800132)"
Desertores Island Región de Los Lagos,"(-42.300844, -73.105387)"
"Off Lae, New Guinea","(-6.7015456, 146.9429657)"
"Hal, Belgium","(50.7360524, 4.2374349)"
"Wadi Halfa, Sudan","(21.8005, 31.350737)"
"Off Cristobal, Panama","(9.2578758, -79.9071872)"
"Bistrita, Romania","(47.1327012, 24.4963949)"
"Chilang Point, Bias Bay, China","(22.6455452, 114.6656766)"
"Daytona Beach, Florida","(29.2108147, -81.0228331)"
"San Luis, Argentina","(-32.3288035, -64.9998821)"
"Wau, Papua New Guinea","(-7.3403142, 146.7172732)"
"Phaleron Bay, Greece","(-33.8595516, 25.4825559)"
"Palembang, Netherlands Indies","(12.1100405, -68.9386371)"
"Haydens Peak, Wyoming","(42.6043586, -110.623882)"
Off Western Africa,"(6.9137267, 79.8743616)"
"Warsaw, Poland","(52.2319581, 21.0067249)"
"Mannheim, Germany","(49.4892913, 8.4673098)"
"Ostende, Belgium","(51.2258565, 2.919496)"
"Croydon, United Kingdom","(51.3713049, -0.101957)"
"Munich, Germany","(48.1371079, 11.5753822)"
"Brindisi Harbor, Italy","(41.2833281, 13.2564314)"
"Saint Sauveur, France","(49.9380929, 2.2120112)"
"Kasperske Hory, Czechoslovakia","(50.2133907, 12.7900181)"
"Bozeman, Montana","(45.6794293, -111.044047)"
"Pago Pago, U.S. Samoa","(-14.273456, -170.701868)"
"North Pine, Ontario, Canada","(49.8147268, -93.7952075)"
"Off San Clemente Island, California","(32.9182018, -118.5098651)"
"Kandalaksha, Russia","(67.1507901, 32.4082716)"
"Guadalupe, Mexico","(25.6751114, -100.2151753)"
"Marseille, France","(43.2961743, 5.3699525)"
Mediterranean Sea,"(35.0000035, 19.9999957)"
"Pontoise, France","(49.0508845, 2.1008067)"
"Near Wawona, Cailifornia","(37.5368699, -119.654916)"
"Datia, India","(25.9182946, 78.6644962)"
"Somerton, Australia","(-30.9392349, 150.6406221)"
"Corsavy, France","(42.4662469, 2.5792263)"
"Near Formia, Italy","(41.259308, 13.6080209)"
"Balbuena, Mexico","(19.4231214, -99.1023994)"
"Mangere, New Zealand","(-36.9741065, 174.7994402)"
"Near Saugus, California","(34.4493489, -118.5168257)"
"Sao Paulo, Brazil","(-23.5506507, -46.6333824)"
"Alberno Canal, BC, Canada","(45.1584, -66.826832)"
"Langeoog, Germany","(53.7408705, 7.4859169)"
"Near Singida, Tanzania","(-5.2902148, 34.6367444)"
"Mount  Mercedario, Chile","(-33.5954717, -70.5579606)"
"Billings, Montana","(45.7874957, -108.49607)"
"Off Sardinia, Italy","(40.7185279, 9.0990668)"
Andes,"(5.6555942, -75.8778448)"
"Stulpica, Romania",
"Kisumu, Kenya","(-0.1029109, 34.7541761)"
Pacific Ocean between Manila and Guam,"(42.1995157, -83.1988202)"
"Debrecen, Hungary","(47.531399, 21.6259782)"
"Shishijima, Japan","(34.2709452, 133.6768588)"
"Near San Andres Tuxtla, VeraCruz, Mexico","(18.4633672, -95.1983153)"
"Kiel, Germany","(54.3227085, 10.135555)"
"Guanabara, Brazil","(-22.888889, -47.065556)"
"Montnago, Italy",
"Wangmoon, China",
"Tokyo, Japan","(35.6768601, 139.7638947)"
"Near Tucumcari, New Mexico","(35.1719425, -103.72504)"
"Innisfail, Australia","(-17.5241605, 146.0311385)"
"Off Bathurst, Gambia","(13.45535, -16.575646)"
"Grisons, Switzerland","(46.6960615, 9.6027351)"
"Soest, Germany","(51.5725501, 8.1061259)"
"Mt. Dandenong, Australia","(-37.8361703, 145.3509803)"
"Somerset, England","(51.1617509, -3.0753867)"
"Channel Islands, Jersey","(49.2123066, -2.1256)"
"Schiphol, Amsterdam","(52.3009067, 4.7956871)"
"Regina, Saskatchewan, Canada","(50.4479733, -104.6158764)"
"Bagdad, Iraq","(33.036132, 44.263504)"
"Off Point Reyes, California","(37.9958916, -123.0226358)"
"Mexico City, Mexico","(19.3207722, -99.1514678)"
"Off Kuba Island, Okinawa","(26.172516, 127.2381199)"
"Darwin, Australia","(-12.46044, 130.8410469)"
"Rio de Janeiro, Brazil","(-22.9110137, -43.2093727)"
"Miles City, Montana","(46.4085273, -105.840981)"
"Katherine, Australia","(-14.4646157, 132.2635993)"
Atlantic Ocean between N.Y. and Bermuda,"(47.3132908, -53.2472239)"
"Juneau, Alaska","(58.3019496, -134.419734)"
"Near Roubien, France",
"Haren, Belgium","(50.8909441, 4.4157553)"
"Manzanares, Colombia","(5.253198, -75.1544544)"
"Near Adler, Washington","(36.0477867, -94.2421716)"
"Oklahoma City, Oklahoma","(35.4729886, -97.5170536)"
"Near Marrakech, Morocco","(31.6258257, -7.9891608)"
"Lumbo, Mozambique","(-15.0193104, 40.667623)"
"Guayaquil, Ecuador","(-2.1990477, -79.8879772)"
"Vlissingen, The Netherlands","(51.4480929, 3.5697992)"
Forest-in-Teesdale. United Kingdom,"(54.6639246, -2.2066827)"
